Train_loss,epoch,step,val_accuracy,val_loss
0.649249792098999,0,49,,
0.47178417444229126,0,99,,
0.15562158823013306,0,149,,
0.32056814432144165,0,199,,
0.3862111568450928,0,249,,
0.17361021041870117,0,299,,
0.32886531949043274,0,349,,
0.5683718919754028,0,399,,
0.3267015814781189,0,449,,
0.2021344006061554,0,499,,
0.4231164753437042,0,549,,
0.05049000307917595,0,599,,
0.17322441935539246,0,649,,
0.5079354047775269,0,699,,
0.10482680797576904,0,749,,
0.24617496132850647,0,799,,
0.4166923463344574,0,849,,
0.17854472994804382,0,899,,
,0,918,0.9452381134033203,0.1779087632894516
0.29365769028663635,1,949,,
0.1386566311120987,1,999,,
0.019752077758312225,1,1049,,
0.11149246245622635,1,1099,,
0.20525257289409637,1,1149,,
0.2604166269302368,1,1199,,
0.16779474914073944,1,1249,,
0.08840407431125641,1,1299,,
0.12056677788496017,1,1349,,
0.14640358090400696,1,1399,,
0.03908299654722214,1,1449,,
0.35807526111602783,1,1499,,
0.10153468698263168,1,1549,,
0.20679691433906555,1,1599,,
0.036140426993370056,1,1649,,
0.132911816239357,1,1699,,
0.10633573681116104,1,1749,,
0.220524862408638,1,1799,,
,1,1837,0.9563491940498352,0.1479978859424591
